id;stage;component_file;function_or_ui;category;activation_condition;user_triggers_that_rebuild;behavior_description;current_formula_or_logic;key_constants;physical_inputs;outputs;surfaces_affected;conservation_renormalization;visual_range_legend;cooling_mode_deps;heating_ventilation_deps;equipment_sizing_deps;data_source;evolution_when_user_changes_input;known_issues;fix_priority;recommended_fix
PHYS-01;spatial;frontend/src/lib/thermal/spatialField.ts;computeSpatialPerturbation;physics_core;Every grid cell;scenario equipment layout preview;Per-point tempDelta rhDelta added to baseTemp/internalRh then clamped.;Sum of modules below;MAX_LOCAL_TEMP_SPREAD_C=8 MAX_LOCAL_RH_SPREAD_PCT=24;ctx x y z surface;x y z deltas;all surfaces;Clamped not conserved here;N/A;Module-specific;All;All;FE;Moving sun azimuth rotates solar hotspots;Multiple modules can fight (solar vs pad gradient);P1;Energy-budget allocation per THERMAL_EQUIPMENT_AUDIT
PHYS-02;spatial;frontend/src/lib/thermal/spatialField.ts;padExhaustAirflowGradient;pad_exhaust;cooling=fan_and_pad OR evaporative;pad sizing external temp supply;Zero-mean along-X gradient: cool at pad(-X) warm at exhaust(+X).;tempDelta = spread*(flow-0.5)*2*(0.65+transit*0.35);spread=min(8*0.85 outdoorDepression*(0.42+padFactor*0.22));airflowFraction padTransit supply;tempDelta rhDelta;floor walls;Zero-mean along X by construction;Dominates floor color range;fan_and_pad evaporative;forced_exhaust for plenum;padWallWidthM pad factor;FE;Increasing pad width deepens cool zone at -X;RH delta only if supplyHumidityRatioKgKg set;P1;Verify wet-bulb floor per-cell FLT-01
PHYS-03;spatial;frontend/src/lib/thermal/spatialField.ts;hotAirExhaustPlenumAt;exhaust_warm;usesExhaustExtraction;exhaustFanCount roofExhaustFanCount diameter;Warm plenum at exhaust fans and roof fans — air being expelled not cooled.;capture = gauss(x-fan.x z-fan.z)*heightWeight*sizeWeight; warmBias=max(1.5 base-supply+2);exhaustScale=min(2.2 0.75+exhaustFactor*0.35);fan positions diameter;tempDelta+=plenum*warmBias*0.62 rhDelta-=plenum*4.5;floor walls roof;N/A;Warm spots at +X;fan_and_pad forced_exhaust combined;ventilation mode;exhaust/roof fan count+diameter;FE;More exhaust fans = more +X warmth;Previously confused with cooling — now extraction;P3;OK if visually matches expectation
PHYS-04;spatial;frontend/src/lib/thermal/spatialField.ts;padWallLocalEffect;pad_plume;evaporative cooling + supplyTempC;pad wall dimensions supply;Local cool/humid plume at pad wall face (-X).;Gaussian at pad.x pad.z pad.y;needs supplyTempC!==null;pad walls positions;local temp rh delta;wall_west primarily;N/A;Cool band at west wall;fan_and_pad evaporative;N/A;padWallWidthM HeightM;FE;Taller pad = taller plume on wall;Double-counts with padExhaust gradient if both strong;P2;Merge pad face and transit into single transport kernel
PHYS-05;spatial;frontend/src/lib/thermal/spatialField.ts;acSupplyInfluenceAt;ac_cool;cooling=mechanical_ac;acUnitCount duct diffusers;Cool zones at ceiling diffusers from supply temp.;gauss at each diffuser reachM;(supplyTemp-base)*acInfl;AC duct layout;temp rh delta;floor (projected);N/A;Cool patches;mechanical_ac;N/A;acUnitCount acUnitWidthM;FE;More AC units = more diffusers;supplyHumidityRatio null for AC — RH effect approximated;P2;Add AC latent/SHR spatial model
PHYS-06;spatial;frontend/src/lib/thermal/spatialField.ts;fogInfluenceAt;fog;cooling=high_pressure_fog;fogLineCount;width;Full-length Z bands cooler more humid.;gauss(z-fog.z width*0.16)*alongX;temp -= fogInfl*min(2.5 delta*0.08) rh += fogInfl*6;fog line positions;temp rh;floor;N/A;Z bands;high_pressure_fog;N/A;fogLineCount;FE;More fog lines = wider humid bands;Fixed -5C global + local may double-count;P2;Single fog energy budget
PHYS-07;spatial;frontend/src/lib/thermal/spatialField.ts;heaterInfluenceAt;heating;heatingActive AND supplyTempC!==null;heater count heating mode;Warm gaussian hubs at heater positions.;(supplyTemp-base)*infl*0.55;HEATING_SETPOINT gate in context;heater positions;temp rh;floor walls;N/A;Warm hubs when cold;N/A;heating!=none AND base<21.5C;heaterUnitCount;FE;Heating slider may show nothing if supplyTempC null;Broken when heating on but supply not set — see SOLVE-02;P0;Set supplyTempC=HEATING_SETPOINT when heating active
PHYS-08;spatial;frontend/src/lib/thermal/spatialField.ts;solar via solarIrradiance; solar;Always if qSolar>0;solar azimuth elevation intensity;Directional solar temp delta. Scale 0.55 default 0.18 evaporative. Floor subtracts 35% mean.;solarTempDeltaFromContext * scale;SOLAR proxy from qSolar;scenario qSolar geometry;tempDelta;floor walls roof;Zero-mean on horizontal surfaces;Can compress legend if spread<2.5C;All;N/A;covering transmittance shading;FE;Azimuth slider rotates warm wall;May overpower pad gradient in non-evap modes;P2;Reduce solar scale with fan_and_pad further
PHYS-09;spatial;frontend/src/lib/thermal/spatialField.ts;outdoorInfluenceAt;perimeter;Always;vents wind external temp;Edge and vent openings exchange with outdoor T/RH.;edge*0.35 + vent gauss*0.22 masked 90% under pad;vent positions;external temp rh;temp rh delta;all;N/A;Perimeter cooling;All;vent counts;roof/side vent sizing;FE;More vents = more edge exchange;Fixed coefficients not flow-based;P2;Tie to ventilation ACH from solver
PHYS-10;spatial;frontend/src/lib/thermal/spatialField.ts;stratification;vertical;Always;mixingEffectiveness eave height;Vertical temp gradient floor to ridge.;(y/eaveH)*(base-external)*0.06*(1-mixEff);Reduced when HAF active;y eave mixing;tempDelta;walls roof;N/A;Warmer upper walls;N/A;N/A;HAF increases mixEff;FE;Low mixEff = more vertical gradient on walls;Fixed 0.06 factor;P3;Multi-zone vertical model per MIX-02
PHYS-11;spatial;frontend/src/lib/thermal/spatialField.ts;HAF inline mix; haf_inline;circulationFanCount>0;HAF count diameter flow motorW;Inline blend of non-airflow deltas toward mixed + floor motor heat.;mix=jet.mixWeight*min(0.95 mixEff*1.05); motor heat via circulationFloorMotorHeatDeltaC*0.85 on floor;jet field;temp rh delta;floor primarily;N/A;Pre-mix before grid post-process;All with HAF;N/A;circulationFan*;FE;More fans increase mix locally;DOUBLE MIXED with MIX-POST — see MIX-POST;P1;Apply HAF mixing only once
CONS-01;conservation;frontend/src/lib/thermal/spatialField.ts;applyConservationToGrid;conservation;Floor generation;baseTemp internalRh;Shifts entire grid so mean equals baseTemp and baseRh.;shift = baseMean - gridMean;applied per cell;baseTemp internalRh;shifted grids;floor (and default surfaces);Yes mean preserved;Shifts legend center;N/A;N/A;N/A;FE;Conservation cancels zero-mean perturbations that had non-zero mean bug;Walls skip before anchor;P3;OK for floor anchor
WAL-01;anchor;frontend/src/lib/heatmapBoundaryContinuity.ts;anchorWallsToFloorField;boundary;After floor+raw walls;geometry eaveHeight;Blends walls to conserved floor at y=0 seamless corners.;result=floorRef+(wallRaw-floorPhysics)*smoothstep(0 eave*0.5 y);FLOOR_REFERENCE_Y_M=0.2 blendHeight=eave*0.5;floor field raw walls;anchored walls;4 walls;Not re-conserved after;N/A;All;N/A;N/A;FE;Corner discontinuity fixed vs raw walls;Wall physics above 0.5*eave unchanged;P3;OK
MIX-POST;haf_post;frontend/src/lib/thermal/circulationMixing.ts;applyCirculationMixingToSurface; haf_mix;circulationFanCount>0 AND surface floor/roof/walls;HAF count diameter flow;Post-process: flatten pad-exhaust along Z jet corridors + motor heat hubs.;blend to column mean in jet; meanShift conserve; motor heat after;strength=min(0.97 (0.18+count/14*0.82)*...);jet threshold 0.025 strength threshold 0.02;circulation fans layout;mixed temperature humidity;floor+walls (roof gen only);Partial — motor heat after mean shift;Narrows spread when many fans;All with HAF;N/A;circulationFan*;FE;0->12 fans: zStd rises then 24 fans spread drops 14.5->4.7C;Runs on walls too but algorithm is horizontal-only (no-op on wall orientation);P1;Separate wall HAF projection; dedupe with PHYS-11
JET-01;haf_geom;frontend/src/lib/thermal/circulationJetField.ts;circulationJetInfluenceAt; haf_geometry;circulationFanCount>0;HAF layout from distributeHafCirculationFans;Jet corridor along fan yaw + motor hub gaussian.;throw=diam*(14+sqrt(cap)*18)*sizeWeight; cross sigma=diam*5.5; forward 1.0 reverse 0.38;fan x z yaw diameterM;mixWeight 0-1 motorHeat 0-2.2;floor jet mask;N/A;N/A;All with HAF;N/A;count diameter flow motorW;FE;Fans at bayCenter±bayWidth/4 rows yaw 0 and pi;Jet along X may be invisible if pad gradient also along X;P2;Add cross-bay circulation visual
JET-02;haf_geom;frontend/src/lib/thermal/circulationJetField.ts;circulationFloorMotorHeatDeltaC; motor_heat;jet.motorHeat>0;motorW fan count;Sensible floor warming under HAF hub in Celsius.;jet.motorHeat*0.95*countScale*motorScale;countScale=min(1.35 0.55+count/28);motorRefW fan count;degrees C delta;floor hubs;Added after conservation — not re-normalized;Local warm spots;All with HAF;N/A;motorW count;FE;Increasing motorW widens hot hubs;Small absolute values 0.5-2C;P3;Tune from rated motor W
JET-03;haf_geom;frontend/src/lib/climateEquipmentLayout.ts;distributeHafCirculationFans;layout;circulationFanCount>0;bayCount dimensions;2 rows per bay: outbound +X return -X at Z=bayCenter±bayWidth/4.;normalizeHafFanCount even per bay;HAF_WALL_OFFSET_M=3;count length width bays;CirculationFanPlacement[];N/A;N/A;All with HAF;N/A;circulationFanCount;FE;Odd count auto-normalized to even;Fan positions may not match 3D mesh if normalization silent;P3;Surface count adjustment toast exists in UI
DERIV-01;derived;frontend/src/lib/heatmapData.ts;buildVpdMatrix;derived;After temp+rh grids;mode=vpd;VPD from Tetens per cell.;es=0.6108*exp(17.27T/(T+237.3)) VPD=es-es*RH/100;N/A;temp rh matrices;vpd[][];all;N/A;MIN_VISUAL_SPAN vpd 0.9 kPa;All;N/A;N/A;FE;VPD follows local T/RH patterns;Not validated against solver global VPD;P3;OK for visualization
DERIV-02;derived;frontend/src/lib/heatmapData.ts;buildUniformityMatrix;derived;mode=uniformity;temp rh grids;100 at mean lower at extremes.;100*(1-(tempNorm*0.65+rhNorm*0.35));TEMP_UNIFORMITY_REF_C=6 RH_REF=18%;temp rh;uniformity[][];all;N/A;MIN_VISUAL_SPAN 24%;All;N/A;N/A;FE;HAF mixing increases uniformity score;Independent from physical mixing coefficient;P3;OK
VIS-01;visual;frontend/src/lib/heatmapData.ts;computeHeatmapVisualRange;legend;heatmapMode!=off;floor spread + preview estimate;Adaptive color window for shader. Temp: if spread>=2.5C use data min/max else center on estimate with 10C span.;margin=max(0.35 spread*0.05);MIN_VISUAL_SPAN temp 10C humidity 18%;floor surface preview;{min max unit};all rendered;N/A;Reference bar 0-50C highlighted band=adaptive;All;N/A;N/A;FE;More HAF fans narrow spread -> legend compresses -> jets more visible;Fixed 10C fallback when spread<2.5C can hide small changes;P2;Use percentile-based span
VIS-02;render;frontend/src/components/3d/HeatmapShader.tsx;buildHeatmapTexture;render;heatmapMode!=off cooling!=none;revision valueMode;Uploads Float32 DataTexture column-major with UV flips.;values[texCol*rows+texRow]=matrixValueAt;opacity=0.5 renderOrder=25;surface matrices preview;THREE.DataTexture;5 planes;N/A;minValue maxValue uniforms;All active cooling;N/A;N/A;FE;Mode switch remounts material;segmentsU/V from grid size;P3;OK
VIS-03;render;frontend/src/components/3d/shaders/heatmapShader.ts;heatmapFragmentShader;glsl;shader active;minValue maxValue colorMode;Normalizes (raw-min)/(max-min) piecewise color gradients.;temp 5-stop blue-green-yellow-red;opacity 0.5;texture uniforms;pixels;all;N/A;Colors only no physics;All;N/A;N/A;FE;Narrow min-max increases contrast;Does not show absolute 0-50 on floor colors only reference bar;P3;OK per design
VIS-04;render;frontend/src/lib/heatmapSurfaceUv.ts;heatmapTextureRemap;uv;per surface;N/A;UV flip rules so pad/exhaust align with physics.;floor flipRow=false; south/west/east flipRow=true;N/A;texture indexing;floor walls;N/A;N/A;All;N/A;N/A;FE;Wrong flip shows inverted pad/exhaust;Historically bug-prone — verify on south wall;P2;Add UV regression test
VIS-05;render;frontend/src/components/3d/GreenhouseMesh.tsx;glass dimming;render;heatmap active;heatmapMode;Dims glass and ground when overlay on.;opacity 0.03 glass transmission 0.94;N/A;heatmapMode cooling;visual only;N/A;N/A;cooling!=none;N/A;N/A;FE;Overlay more visible;N/A;P3;OK
MODE-01;mode;frontend/src/components/ui/HeatmapControls.tsx;temperature mode;display;heatmapMode=temperature;mode button;Shows floor+wall temperature field.;matrixValueAt surface temperature;clamp 0-50C;temp grid;colors;all;N/A;Adaptive + 0-50 reference;All cooling;N/A;N/A;FE;Pad cool blue exhaust warm red expected;User expects monotonic pad->exhaust;P1;Validate against Qatar scenario
MODE-02;mode;HeatmapControls;humidity mode;display;heatmapMode=humidity;mode button;Shows RH% field.;0-100 clamp;absolute scale;rh grid;colors;all;N/A;Centers on estimated RH;All;N/A;N/A;FE;Pad side more humid;Less tested than temperature;P2;Audit RH spatial modules
MODE-03;mode;HeatmapControls;vpd mode;display;heatmapMode=vpd;mode button;Derived VPD kPa.;from T and RH;0-10 scale;vpd grid;colors;all;N/A;Data-driven span;All;N/A;N/A;FE;Follows T/RH patterns;N/A;P3;OK
MODE-04;mode;HeatmapControls;uniformity mode;display;heatmapMode=uniformity;mode button;Shows uniformity index 0-100.;inverse deviation from mean;6C 18% refs;uniformity grid;colors;all;N/A;MIN 24% span;All;N/A;N/A;FE;HAF increases uniformity visually;Not a physical CFD metric;P3;OK
EVOL-01;evolution;user_input;externalTempC slider;evolution;heatmap on;HeatmapControls 5-50C;Increases/decreases global base and outdoor exchange pad depression stratification.;baseTemp from solver; outdoor delta in spatial;scenario.externalTempC;all surfaces shift;floor;conserved mean tracks solver;Legend estimate marker moves;All;N/A;N/A;FE;+1C external typically raises internal and widens pad gradient;Non-linear with pad wet-bulb floor;P1;Document in UI hint
EVOL-02;evolution;user_input;circulationFanCount;evolution;HAF>0;equipment sizing slider;More fans: wider jet coverage stronger mixing narrower floor spread motor hubs.;MIX-POST + PHYS-11 + mixEff from recirc;countFactor count/14;circulationFanCount;floor pattern;floor+walls;motor heat breaks strict conservation;Spread can drop dramatically at 24 fans;All with HAF;N/A;circulation*;FE;6->24 fans: jet coverage 37%->100% spread 14.5->4.7C;User reported invisible jets before 07dde23 fix;P1;Verify in browser after fix
EVOL-03;evolution;user_input;exhaustFanCount;evolution;forced_exhaust or fan_and_pad;equipment sizing;More exhaust: stronger +X warm plenum larger ACH higher mixEff.;hotAirExhaustPlenumAt exhaustCapacityFactor;fan count diameter;exhaustFan*;+X warmth;floor walls;N/A;Warm exhaust side;fan_and_pad forced_exhaust combined;ventilation;exhaust*;FE;Previously confused with cooling;Now extraction plenum;P2;OK post FAN-01 fix
EVOL-04;evolution;user_input;padWallWidthM;evolution;fan_and_pad;equipment sizing;Wider pad: deeper cool band at -X higher padFactor.;padTransit padWallLocalEffect padCapacityFactor;padWallWidthM HeightM;pad*;west side cool;floor wall_west;N/A;Left-right gradient;fan_and_pad evaporative;N/A;pad*;FE;Narrow pad may make gradient subtle;N/A;P3;OK
EVOL-05;evolution;user_input;solarAzimuthDeg;evolution;Always;HeatmapControls 0-359;Rotates which wall/floor receives solar boost.;solarTempDeltaFromContext surface projection;scenario.solarAzimuthDeg;directional solar;rotating warm zones;floor walls;Zero-mean horizontal;Can affect spread;All;N/A;covering transmittance;FE;180 vs 0 changes east/west balance;Reduced to 0.18 scale in evap mode;P2;OK
EVOL-06;evolution;user_input;windSpeedMS;evolution;Always;HeatmapControls 0-12;Higher wind -> more ventilation ACH -> higher mixingEffectiveness -> less stratification stronger HAF.;ventilationFlow -> mixEff;wind driven ACH;scenario.windSpeedMS;stratification HAF strength;walls floor;N/A;Indirect;All;ventilation mode;N/A;FE;Wind affects mix more than absolute temp;Not full wind pressure model;P2;ENV-03 alignment
EVOL-07;evolution;user_input;cooling system;evolution;dropdown;CultivationClimateControls;Switches entire physics module set. none=disabled.;Module gating per cooling enum;COOLING_DELTA tables;cooling enum;different spatial patterns;all;Different conservation;Different ranges;per mode;N/A;per mode;FE;fan_and_pad shows pad-exhaust; AC shows diffuser pattern; fog Z bands;none disables;P0;OK with GATE-01
EVOL-08;evolution;user_input;dimensions/structure;evolution;gizmo or controls;length width bays;Changes grid resolution equipment positions coeffs halfL halfW.;gridSize layout recompute;revision includes all dims;dimensions structure;rescaled field;all;Re-conserved;Aspect ratio affects legend;All;N/A;bayCount;FE;Resize moves fan positions;Grid cap 24 may not grow with size;P2;See GRID-01
DEAD-01;dead_code;frontend/src/lib/heatmapFallback.ts;generateFallbackHeatmap;unused;Never;N/A;Simple radial fallback matrix never imported.;radial pattern;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;None;Dead code;P3;Delete file
DEAD-02;dead_code;frontend/src/lib/heatmapInfluence.ts;heatmapTemperatureFloorC applyHeatmapTemperatureFloor;unused;Never;N/A;Per-cell wet-bulb/AC floor helpers not called in spatial pipeline.;pad floor AC 12C;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;None;Global floor in solver only — local cells can violate;P1;Apply per-cell or remove dead helpers
SCEN-01;scenario;Qatar default;fan_and_pad 60x30;reference;cooling=fan_and_pad;typical audit;Reference behavior: pad -X cool exhaust +X warm HAF horizontal bands at bay rows.;pad gradient dominant along X;HAF along X at fixed Z;See EVOL-02 metrics;floor;spread ~10-15C without HAF ~5-15 with many HAF;fan_and_pad;forced_exhaust;12+ HAF;FE;Used for regression tests in agent runs;User primary complaint surface;P0;Use this scenario for all heatmap QA
FIX-ROADMAP;meta;docs/HEATMAP_AUDIT.csv;recommended_sequence;roadmap;N/A;N/A;Suggested fix order for meaningful heatmap.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;P0;1 SYS-01 unify or honest badge 2 SOLVE-02 heating supply 3 PHYS-07 heater fix 4 MIX dedupe 5 DEAD-02 per-cell floors 6 browser QA SCEN-01
