id;element;category;activation;layout_3d_position;layout_spatial_extent;global_thermal_effect;global_thermal_formula;global_thermal_inputs;heatmap_effect;heatmap_formula;heatmap_sigma_shape;heatmap_surfaces;heatmap_spatial_coverage;max_local_delta;fe_be_aligned;review_flags
FAN-03;HAF circulation fans;Mixing;circulationFanCount > 0;Configured HAF positions;Recirculation zones;"No outdoor ACH contribution; adds motor heat and increases mixing coefficient";"Q_motor = SUM(HAFPowerW*runtime); mixingCoeff = f(totalRecirculationFlow/greenhouseVolume, layout)";circulationFanFlowM3h circulationFanPowerW count runtime positions greenhouseVolume;"Reduces stratification and local variance; may slightly warm due motor heat";"deltaLocal *= (1-mixingEffectiveness); add local motor sensible heat";Jet throw based on fan flow/diameter, not arbitrary cooling radius;floor roof walls;Along fan jets and recirculation paths;"Mixing-only; no negative fixed delta T";Yes;CORRECTED: remove ACH += count*0.15
PAD-01;Evaporative pad wall;Cooling pad;fan_and_pad OR evaporative;Pad inlet wall;Pad face + downstream airflow;"Conditions entering air; energy effect is coupled to airflow and evaporation";"T_pad = T_out - eta_pad*(T_out-Twb_out); solve w_pad from near-adiabatic humidification; Vdot from fans/natural flow";T_out RH_out pressure eta_pad padArea padThickness waterFlow Vdot airVelocity faceVelocity;Creates cool/humid inlet state that warms downstream due greenhouse loads;T_local/w_local interpolate from pad outlet state along calculated airflow and local heat gains;Pad-face + downstream transport kernel;floor walls roof;From pad to exhaust;"Cannot cool below psychrometric limit; no extra wall bonus";Yes;CORRECTED: no fixed -4.8 C plume and no duplicate -2 C wall bonus
CLG-01;Fan-and-pad system global;Cooling;cooling=fan_and_pad;Pad inlet + exhaust outlet;Whole air path;Global state results from pad-conditioned supply air plus greenhouse sensible/latent loads;"mDotAir=rho*Vdot; h_supply=h(T_pad,w_pad); zone energy/moisture balances determine T_in,w_in";fan airflow pad efficiency pad state weather solar crop envelope internalLoads;Lengthwise gradient is derived from accumulated local load per unit airflow;"DeltaT along path approx accumulatedSensibleLoad/(mDotAir*cpAir); humidity from accumulated moisture/(mDotDryAir)";Longitudinal transport field;floor roof walls;Full pad-to-fan length;Psychrometric + energy-balance bounded;Yes;CORRECTED: removes duplicated global drop + plume + transit cooling
CLG-02;Direct evaporative cooling global;Cooling;cooling=evaporative;Evaporative inlet/device;Whole zone or device airflow path;Cooling limited by wet-bulb depression and actual evaporated water;"Q_evap = mDotWaterEvap*lambda; outlet state solved from air/water mass-energy balance and eta_evap";airflow waterFlow evaporationEfficiency T_in RH_in pressure;Spatial effect follows treated-air distribution;Distribute treated air without adding extra energy;Device/duct airflow kernel;floor roof walls;Supply path;Wet-bulb and water-flow limited;Yes;CORRECTED: remove fixed -4.5 C capacity formula
CLG-03;Mechanical AC global;Cooling;cooling=mechanical_ac;"Indoor supply system; condensers external";Whole conditioned zone;Removes rated sensible and latent capacity, derated for Qatar outdoor conditions and indoor entering state;"Q_total_avail = ratedCapacityKW*capacityDerating(T_out,T_inWB)*runtime; Q_sens=SHR*Q_total; Q_lat=(1-SHR)*Q_total";ratedCoolingCapacityKW SHR COP/EER airflowM3h supplyTemp supplyHumidity capacityDeratingCurve T_out T_in RH_in runtime;"Spatial distribution handled by ducts/diffusers; total distributed cooling cannot exceed Q_sens";"SUM(Q_sensible_local)=Q_sens; SUM(moistureRemovalLocal)=Q_lat/lambda";Supply jet kernels normalized by diffuser airflow;floor roof walls;Conditioned zones;"Energy-conserving; no fixed -10 C offset";Yes;CORRECTED: capacity must be in kW and include high-ambient derating
CLG-04;High-pressure fog global;Cooling;cooling=high_pressure_fog;Fog nozzle lines;Fogged zones + mixed air;Adds water vapor and removes heat only for fraction actually evaporated;"mDot_evap = min(mDot_water*eta_evap, moistureCapacityOfAir); Q_fog=mDot_evap*lambda; solve T,w from energy/moisture balance";nozzleFlowLh nozzleCount pressure evaporationEfficiency T_in RH_in airMixing airflow;Cooler/more humid near fog with distribution constrained by actual evaporated mass;"Distribute mDot_evap and Q_fog by nozzle field; sums equal global values";Nozzle plume + mixing field;floor roof walls;Fog lines and downstream mixing;Psychrometric saturation limited;Yes;CORRECTED: remove fixed -5 C global and -1.2 C local values
AC-01;AC outdoor condenser units;AC equipment;mechanical_ac;Outside greenhouse envelope;External only;No direct indoor cooling source. Used for capacity derating and optional external heat-rejection visualization;"Q_reject = Q_cooling + P_compressor; indoor balance uses CLG-03 only";outdoorUnitRatedCapacity condenserEnteringTemp compressorPower capacityDeratingCurve;No indoor heatmap cooling;N/A for indoor surfaces;N/A;none;Outside only;0 indoor delta;Yes;CORRECTED: outdoor condenser must not cool greenhouse locally
AC-02;AC supply duct segments;AC distribution;mechanical_ac;Configured duct network;Ducted supply path;"Distribution only; no new cooling energy";"Q_duct_loss = UA_duct*(T_surround-T_supply) if modeled; otherwise 0; remaining supply capacity conserved";ductDiameter length insulationU supplyAirflow supplyTemp ambientTemp;Moves allocated sensible/latent capacity along duct network;"Each segment carries remaining airflow/enthalpy; local effect derives from leakage/diffusers only";Duct geometry;floor roof walls;Along duct network;Cannot exceed CLG-03 capacity;Yes;CORRECTED: remove temp -= 1.05 per sample step
AC-03;AC ceiling diffusers;AC distribution;mechanical_ac;Configured diffuser locations;Supply jets;Distributes CLG-03 supply airflow and cooling among diffusers;"Vdot_i = Vdot_total*weight_i/SUM(weight); Q_i = Q_sens*Vdot_i/Vdot_total";diffuserCount diffuserAirflow/weights throw angle supplyTemp roomTemp positions;Local cooler/drier supply jets with mixing/entrainment;T/w effect from supply-air mass and enthalpy mixing, not fixed delta T;"Jet throw from diffuser data; Gaussian approximation allowed after normalization";floor roof walls;Diffuser throw/occupied zone;Bounded by supply state and allocated capacity;Yes;CORRECTED: overlap cannot multiply total AC capacity
FOG-01;Fog nozzle lines;Fog distribution;high_pressure_fog;Configured nozzle lines;Nozzle plumes;"Distribution only; totals come from CLG-04";SUM(localEvaporation)=mDot_evap_global;lineCount nozzleSpacing nozzleFlowLh positions airflow;Localized evaporation/humidity source;Normalized nozzle weights distribute Q_fog and moisture source;Nozzle plume/mixing kernel;floor roof walls;Around nozzle lines and downstream air;Psychrometric saturation limited;Yes;CORRECTED: 3D and backend use same nozzle positions and mass flow
VNT-01;Roof ridge vents;Ventilation;roof_vents OR combined OR natural_ridge;Ridge openings;Vent openings + whole flow path;"Contributes opening area to wind/stack airflow; no intrinsic cooling";"Aeff from actual vent geometry; Vdot computed by ENV-03/ENV-04";ventLength ventOpeningWidth openingAngle Cd elevation wind weather screenPressureDrop;Outdoor-air/stack influence near opening;Local state tends toward advected source state according to calculated flow;Vent strip kernel;roof walls floor;Ridge/roof outlet zones;Bounded by outdoor/global state difference;Yes;CORRECTED: remove fixed -1.4 C roof cooling
VNT-02;Side wall vents;Ventilation;side_vents OR combined;Side openings;Vent openings + whole flow path;"Contributes opening area to wind/stack airflow; no intrinsic cooling";"Aeff from actual side-vent geometry and opening angle; Vdot via ENV-03/04";ventLength ventHeight openingAngle Cd windDirection screenPressureDrop;Windward inlet/leeward outlet influence;Local state from calculated advective exchange;Opening strip kernel;floor walls roof;Near side openings and cross-flow path;Bounded by source state;Yes;CORRECTED: remove fixed -1 C cooling
VNT-03;Natural gable vent;Ventilation;natural_gable;Gable opening;Opening + whole-house path;Same wind/stack flow model as other natural vents;"Aeff actual gable opening; Vdot via ENV-03/04";gableVentArea openingAngle Cd wind weather screenPressureDrop;Advective outdoor-air influence;No fixed temperature decrement;Opening kernel;floor walls roof;Gable flow path;Bounded by source state;Yes;CORRECTED: remove preset base ACH and fixed heatmap strength
HTG-01;Unit heaters;Heating;heating=unit_heater AND heating demand > 0;Configured heater positions;Heater supply zones;Adds rated sensible heating capacity;Q_heat = SUM(ratedHeatKW*efficiency*runtimeFraction);heaterCapacityKW count efficiency runtime airflow supplyTemp;Warm supply jets;"Distribute Q_heat by heater airflow/position; total conserved";Heater jet kernel;floor roof walls;Heater throw zones;Capacity-limited;Yes;CORRECTED: replace fixed 180 W/m2 and +2.2 C
HTG-02;Air heaters;Heating;heating=air_heater AND heating demand > 0;Configured heater positions;Air-heater supply zones;Adds rated sensible heat;Q_heat = SUM(ratedHeatKW*efficiency*runtimeFraction);heaterCapacityKW count efficiency airflow supplyTemp runtime;Warm air distribution;Energy-conserving distribution by airflow;Heater jet kernel;floor roof walls;Supply zones;Capacity-limited;Yes;CORRECTED: replace fixed 150 W/m2
HTG-03;Geothermal/heat-pump system;Heating/cooling;geothermal active;Configured emitters/loops;Served zones;Capacity from heat pump/ground loop, not row-count W/m2 proxy;Q_available = compressorPowerKW*COP(or EER) subject to source/sink temperature limits;heatPumpCapacityKW COP sourceTemp sinkTemp flowRate emitterArea runtime;Distributed by emitters/air handlers;Energy-conserving allocation;Emitter/zone kernel;floor roof walls;Served zones;Capacity-limited;Yes;CORRECTED: replace fixed 90 W/m2
HTG-04;Hot-water pipes;Heating;heating=hot_water_pipes AND heating demand > 0;Pipe layout at floor/canopy level;Pipe zones + radiant/convective field;Heat from measured/design water flow and temperature drop;"Q_water = mDotWater*cpWater*(T_supply-T_return); optionally capped by UA_pipe*(T_meanWater-T_zone)";waterFlowKgS supplyTemp returnTemp pipeLength diameter UA runtime;Warmer near pipe network, including radiant contribution if modeled;"Distribute convective/radiant shares from pipe geometry; total equals Q_water";Pipe-line kernel;floor walls crop zone;Along pipe runs;Capacity-limited;Yes;"CORRECTED: add 3D layout; replace fixed 120 W/m2"
MIX-01;Spatial mixing model;Mixing;Whenever airflow exists;N/A;Whole field;Does not change global energy/mass except internal fan motor heat accounted in EQP-01;mixingRate = f(recirculationFlow, ventilationFlow, geometry, obstructions);HAF airflow exhaust airflow natural airflow geometry crop drag;Reduces local deviations while conserving area/volume-weighted T and humidity ratio;"field = mean + (rawField-mean)*(1-mixingEffectiveness); re-normalize to conserve energy/mass";Flow/zone based;floor roof walls;Whole greenhouse;No arbitrary global delta;Yes;"CORRECTED: conservation required; do not damp all perturbations without re-normalization"
MIX-02;Vertical stratification;Air stack;Always;Vertical profile;Floor to ridge;Emerges from buoyancy vs mixing rather than fixed +0.35 C;"dT_dz or multi-zone exchange derived from buoyancy/mixing; simplified stratification = stratificationPotential*(1-mixingEffectiveness)";height solar load roof temperature HAF airflow natural ventilation mechanical airflow;"Warmer upper air when buoyancy dominates; flatter with strong mixing";Apply zero-mean vertical gradient so volume-average remains global T;Vertical linear/nonlinear profile;floor walls roof;Floor-to-ridge;Suggested guardrail 0-5+ C depending on conditions, not fixed;Yes;CORRECTED: remove universal 0.35 C ceiling bias
MOI-01;Indoor moisture balance;Psychrometrics;Always;N/A;Whole zone / multi-zone;Tracks humidity ratio from crop, pad, fog, ventilation and AC/dehumidification;mDryAir*dw/dt = mDot_crop + mDot_fog + mDot_pad + mDot_vent*(w_out-w_in) - mDot_condensate - mDot_dehumidifier;airMass w_out cropET fogEvap padEvap ventilationFlow AC_latent dehumidifierCapacity dt;Provides RH/VPD after local humidity-ratio distribution;"RH = psychrometricRH(T,w,P); VPD from saturation vapor pressure and vapor pressure";Zone based;floor roof walls;Whole greenhouse;"0<=RH<=100%; saturation respected";Yes;ADDED: simulate humidity ratio, not RH directly
GRD-01;Ground/floor heat exchange;Passive envelope;Always;Floor;Floor area;Heat exchange with soil/slab using ground temperature and effective U/thermal storage;Q_ground = U_ground*A_floor*(T_ground-T_in) or dynamic slab/soil RC model;groundTemp U_ground floorArea slabThermalMass soilThermalProperties;Optional warmer/cooler floor influence;Local flux applied to floor-adjacent zone;Floor-decay kernel;floor walls;Near floor;Model-derived;Yes;ADDED: useful for transient simulations
DEH-01;Mechanical dehumidifier;Dehumidification;dehumidifier active;Configured positions;Served air zone;Removes water vapor and usually adds sensible compressor/reheat heat indoors;"mDot_remove = min(ratedRemovalKgH/3600, availableMoisture); Q_sensible_added = electricPower + optional condenser/reheat contribution depending configuration";ratedRemovalKgH powerKW airflowM3h configuration runtime T RH;"Drier supply air; may be warmer";"Distribute moisture removal and sensible heat by supply airflow; conserve totals";Supply jet kernel;floor roof walls;Served zones;Capacity-limited;Yes;ADDED: essential if dehumidification is part of greenhouse HVAC
FLT-01;Psychrometric saturation limit;Limit;Evaporative systems/fog/pad;N/A;Whole field;Prevents evaporation beyond saturation and wet-bulb/enthalpy constraints;"limit mDot_evap so w_out <= w_sat(T,P); solve coupled enthalpy state";T RH pressure waterFlow airflow;Same physical saturation limit in every cell/zone;Clamp mass transfer, not temperature directly;N/A;all surfaces;All treated zones;Physical saturation bound;Yes;CORRECTED: replace hard temperature floor with mass/energy psychrometric limit
FLT-02;Equipment operating limits;Limit;Equipment active;N/A;Whole model;Applies manufacturer operating envelope/capacity limits;"capacityAvailable = ratedCapacity * deratingCurve(state); enforce supply-state and freeze/condensation limits";manufacturer curves T_out T_inWB flow pressure;Same limits feed spatial allocator;"No arbitrary 12 C room floor; supply-air limits may be configured";N/A;all surfaces;All equipment zones;Manufacturer-limited;Yes;"CORRECTED: remove universal 12 C greenhouse floor as physics; retain only numerical emergency guardrail separately"
FLT-03;Numerical guardrails;Limit;Always;N/A;Whole solver;Protects solver from nonphysical divergence without masking normal results;"Validate ranges; adaptive timestep; flag if T/RH/w exceed physical bounds rather than silently clipping normal operation";solverDt state variables convergence tolerance;Visualization may cap color scale only, while raw values remain available;"Do not clamp physical field to +/-10 C except catastrophic fail-safe; expose warning";N/A;all surfaces;Visualization only for normal use;No physical delta imposed;Yes;CORRECTED: avoid hidden clipping that masks sizing errors
WAL-01;Pad wall surface visualization;Visualization;pad active;Pad wall;Pad face;No extra thermal energy;Uses PAD-01 outlet state at pad surface;pad outlet T/w geometry;Shows pad face near calculated pad outlet state;"Visual interpolation only; no additional -2 C or +8% RH";Pad-face kernel;wall_west floor;Pad face and immediate inlet region;Bounded by PAD-01 state;Yes;CORRECTED: remove duplicate wall bonus
WAL-02;Exhaust wall surface visualization;Visualization;exhaust fans active;Exhaust wall;Fan capture regions;No extra thermal energy;Uses FAN-01 airflow field;fan positions airflow room state;Shows extraction/mixing near fan openings;"Visual advection only; no -0.4 C bonus";Fan capture kernel;wall_east floor roof;Exhaust face;Bounded by solved field;Yes;CORRECTED: remove duplicate exhaust cooling bonus
SYS-01;Single thermal/moisture engine;Architecture;Always;N/A;Global + zones + heatmap;One source of truth computes energy and moisture state;"solve energy balance + moisture balance each timestep; expose global and zonal states to FE/BE";all physical inputs;Heatmap consumes solver outputs and spatial allocation weights;No independent FE temperature model;N/A;floor roof walls;Full greenhouse;N/A;Yes;CORRECTED: FE must not run a separate physical model
SYS-02;Backend spatial field;Architecture;Always;Equipment XYZ + greenhouse grid;3D/2D grid;Backend generates spatial field from same conserved sources/sinks used by global solver;area/volume-weighted spatial sums reconcile to global energy and moisture budgets;thermal solver state equipment layout airflow model;Single temperature humidity-ratio RH VPD field used by WebSocket and 3D;No analytic sine-wave fallback when physical field is available;Grid resolution configurable;floor roof walls;Full greenhouse;N/A;Yes;CORRECTED: unify backend WS heatmap and 3D overlay
SYS-03;Adaptive color scale;Visualization;Heatmap enabled;Shader/UI;Rendered surfaces;No physical effect;visualMin/Max derived from field percentiles or configured engineering range;field min max percentiles user scale;Maps solved field to colors without altering values;Display absolute legend matching actual scale;N/A;all surfaces;Full greenhouse;N/A;Yes;CORRECTED: legend and shader must use same actual range
SYS-04;Dynamic timestep solver;Architecture;Simulation running;N/A;Whole model;Supports transient response, control cycling and thermal mass;"state_next = state_now + derivatives*dt; reduce dt if convergence/physical-limit checks fail";dt C_effective airMass control states equipment runtime weather series;Heatmap interpolates current solved timestep;Spatial field recalculated from same timestep state;N/A;floor roof walls;Whole greenhouse;N/A;Yes;ADDED: required for realistic startup/shutdown and Qatar daytime transients
CTL-01;Equipment runtime/control modulation;Controls;Equipment available;N/A;Whole model;Uses actual duty cycle/modulation instead of assuming full power whenever mode selected;"effectiveCapacity = availableCapacity * modulationFraction; runtimeFraction from controller/PID/hysteresis";setpoints deadbands PID output min/max speeds staging logic timestep;Spatial source strength follows actual modulation;localSource = fullLoadSource*modulationFraction;Equipment-specific;floor roof walls;Equipment zones;0-100% modulation;Yes;ADDED: essential for estimating real working load and energy consumption
